Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price
16.0,2016,42.0,127.0,59.0,2.0,1.0,15.0,2.0,4.0,8.3,59689,272.0,86.0,1.0,3.0,4,5,22999.0
15.0,2013,91.0,127.0,447.0,2.0,1.0,11.0,2.0,1.0,6.6,105767,279.0,29.0,1.0,3.0,4,5,19999.0
22.0,2013,153.0,145.0,1145.0,2.0,1.0,31.0,0.0,1.0,6.7,154347,15.0,327.0,3.0,4.0,4,5,15990.0
16.0,2021,90.0,145.0,3334.0,2.0,1.0,6.0,2.0,5.0,7.9,20827,157.0,28.0,1.0,4.0,4,5,32888.0
15.0,2014,86.0,159.0,444.0,2.0,1.0,31.0,3.0,5.0,7.5,114424,311.0,306.0,3.0,6.0,4,5,29990.0
18.0,2016,41.0,127.0,913.0,2.0,1.0,7.0,2.0,5.0,9.0,98700,272.0,306.0,1.0,3.0,4,5,36999.0
30.0,2009,103.0,127.0,604.0,2.0,1.0,9.0,3.0,4.0,9.9,155135,272.0,203.0,1.0,3.0,4,5,10995.0
2.0,2014,4.0,60.0,1841.0,2.0,1.0,2.0,2.0,4.0,9.3,215100,311.0,411.0,0.0,1.0,4,5,18995.0
16.0,2015,42.0,127.0,448.0,2.0,1.0,15.0,2.0,4.0,9.8,133934,235.0,203.0,1.0,3.0,4,5,22999.0
34.0,2014,235.0,145.0,1478.0,2.0,1.0,11.0,2.0,5.0,7.4,117000,338.0,431.0,1.0,4.0,4,5,7888.0
43.0,2013,127.0,145.0,1022.0,2.0,1.0,16.0,1.0,5.0,9.1,231675,9.0,377.0,1.0,4.0,4,5,19800.0
39.0,2021,203.0,159.0,1239.0,2.0,1.0,3.0,2.0,4.0,6.4,23332,40.0,132.0,1.0,6.0,4,5,67988.0
15.0,2018,91.0,127.0,1609.0,2.0,2.0,7.0,2.0,5.0,5.6,130647,15.0,203.0,1.0,3.0,4,5,21880.0
45.0,2019,69.0,127.0,2098.0,2.0,1.0,16.0,2.0,5.0,7.2,47307,5.0,256.0,1.0,3.0,4,5,41888.0
45.0,2016,69.0,127.0,164.0,2.0,1.0,15.0,2.0,5.0,7.3,74983,60.0,264.0,1.0,3.0,4,5,29990.0
46.0,2013,46.0,154.0,1813.0,2.0,1.0,31.0,0.0,1.0,8.8,159558,71.0,192.0,3.0,5.0,4,5,38950.0
29.0,2017,32.0,159.0,278.0,2.0,1.0,16.0,2.0,4.0,8.5,65502,229.0,307.0,1.0,6.0,4,5,29990.0
9.0,2010,237.0,154.0,1865.0,2.0,1.0,24.0,0.0,1.0,10.5,193271,338.0,101.0,2.0,5.0,4,5,29990.0
41.0,2016,220.0,159.0,503.0,2.0,1.0,11.0,2.0,1.0,7.0,258936,157.0,14.0,1.0,6.0,4,5,21290.0
41.0,2013,238.0,159.0,2755.0,2.0,1.0,5.0,2.0,4.0,6.5,292134,60.0,14.0,1.0,6.0,4,5,14995.0
34.0,2008,213.0,154.0,2421.0,2.0,2.0,14.0,0.0,1.0,9.5,251000,264.0,529.0,1.0,5.0,4,5,21290.0
21.0,2021,313.0,127.0,576.0,2.0,1.0,31.0,3.0,1.0,7.2,35024,32.0,413.0,3.0,3.0,4,5,26990.0
33.0,2015,50.0,145.0,2022.0,2.0,1.0,11.0,2.0,5.0,5.1,44145,311.0,306.0,1.0,4.0,4,5,32000.0
45.0,2021,239.0,145.0,1527.0,2.0,1.0,11.0,2.0,5.0,6.4,29567,338.0,203.0,1.0,4.0,4,5,67988.0
45.0,2017,69.0,127.0,403.0,2.0,1.0,15.0,2.0,5.0,7.9,149988,272.0,260.0,1.0,3.0,4,5,19950.0
